,set,artist,song,vox_type,start,stop,lyrics,spk_id,utt_id,mix_file,vox_file,sr
10,train,A Classic Education,NightOwl,c,0073,0080,OH OH,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000010,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
11,train,A Classic Education,NightOwl,c,0080,0089,OH OH OH OH OH OH OH OH,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000011,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
12,train,A Classic Education,NightOwl,c,0089,0099,AH AH OH,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000012,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
13,train,A Classic Education,NightOwl,d,0099,0105,<NO_VOX>,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000013,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
14,train,A Classic Education,NightOwl,d,0105,0113,<NO_VOX>,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000014,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
15,train,A Classic Education,NightOwl,d,0113,0123,<NO_VOX>,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000015,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
16,train,A Classic Education,NightOwl,d,0123,0132,<NO_VOX>,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000016,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
17,train,A Classic Education,NightOwl,a,0132,0140,GRANT THOSE STAIRS WE SEE YOU AND THEM,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000017,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
18,train,A Classic Education,NightOwl,a,0140,0150,IT'S ALL LOST AND FOUND BURRY ME IN THE GROUND HAVE NO THOUGHTS,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000018,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
19,train,A Classic Education,NightOwl,a,0150,0158,DON'T YOU KNOW IT'S ALL PASSAGES,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000019,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
20,train,A Classic Education,NightOwl,a,0158,0168,PLACES THAT WARNING FITS I'LL COME DIG AND BEG YEAH BUT ALL COME AROUND,A_Classic_-NightOwl__,A_Classic_-NightOwl__-0000020,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/mixture.wav,db/musdbhq_mono/train/A_Classic_Education_-_NightOwl/vocals.wav,44100
21,train,ANiMAL,Clinic A,d,0000,0009,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000021,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
22,train,ANiMAL,Clinic A,b,0009,0020,AH WELCOME TO THE GATES OF DANTE'S INFERNO A HATE LASING WAIT FOR OLD TIME ETERNAL DEMONS WITH SKIM ENDINGS NOT FORGIVEN ACROSS THEIR PESSIMISM WITH A VERSE OF EXORCISM SEE THE SOULS OF THE RIGHTEOUS,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000022,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
23,train,ANiMAL,Clinic A,b,0020,0026,MARCH WITH PRECISENESS A PART IS ENLIGHTENED CAUSE FEAR'S FOR THE FRIGHTENED IF MY TEAM YOU BE LIKING IF YOU WE BE FIGHTING KNOWN,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000023,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
24,train,ANiMAL,Clinic A,b,0026,0035,TO BE STRIKING LIKE THE FORCE OF THE VIKINGS AS I STEP FROM THE DARKNESS ONE SPLIT BLASTING ONE HAND CARRYING HATES HEAD IN A BASKET MY EYES HALF DARKENED BY DARTH VADER GLASSES,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000024,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
25,train,ANiMAL,Clinic A,b,0035,0042,WHO EVER ASK IT TELL THEM IT'S DE MAQUIS I MAINTAIN MY GODLESS TAKE AIM THE FATHERS AND ALL THIS IS DONE IN THE NAME OF THE FORE FATHERS,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000025,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
26,train,ANiMAL,Clinic A,b,0042,0049,I MADE A PROMISE TO PUSH THE PAPERS MARGINS I MARCH LIKE THE SPARTANS WITH TODAY'S ARTISTS WE TAKE AIM,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000026,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
27,train,ANiMAL,Clinic A,b,0049,0057,AND HATERS HAVE TO RUN AWAY WITH THEIR HEAD IN SHAME CAUSE WE'RE NOT AFRAID,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000027,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
28,train,ANiMAL,Clinic A,b,0057,0067,AND WE'VE GOT HATE GRENADES WE ARE THE RENEGADES STRAIGHT OUT OF CLINIC A I GOT MY NINE INCH FREE FOR I'M A NICE INCH SPEAKER,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000028,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
29,train,ANiMAL,Clinic A,a,0067,0074,MY NINE IN SPEAKER MY NINE INCH SPEAKER MY NINE GRANTS A PATH FOR MY FRIENDS TO GET SWEETER MY FRIENDS TO GET SWEETER MY FRIENDS TO GET,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000029,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
30,train,ANiMAL,Clinic A,b,0074,0082,HO JURASSIC LIKE OLD SCHOOL YOU SEE ME AS A CAVE MAN GRINDING ON BOATS CAUSE WE'VE BUILT THIS CITY ON ROCK AND ROLL,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000030,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
31,train,ANiMAL,Clinic A,a,0082,0093,THE PARKERS WOULD TRAVEL THE FOUR CORNERS OF THE WORLD JUST TO REACH HER FOR NONISH NOW IS THE CASE ONE IS A TEACHER TO JUMP FIT STATES IN STATION HER POCKETS GETTING PAID HAVING BENT HER ON THE BUS AND WHILE THE GROUP WAS GETTING LAID BUT,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000031,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
32,train,ANiMAL,Clinic A,b,0093,0104,SO EVEN NIECE'S CHIN IS ONE TRACK KEEP ON WILLING IS THE WAS WE DO IT CIGARS GRAB ME NUTS EY LADY SHAKE IT BIT SISTER PEDE ODE SEED KAYDE ADE TEED LIPS WE TAKE AIM,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000032,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
33,train,ANiMAL,Clinic A,b,0104,0112,AND HATERS HAVE TO RUN AWAY WITH THEIR HEAD IN SHAME CAUSE WE'RE NOT AFRAID,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000033,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
34,train,ANiMAL,Clinic A,b,0112,0120,AND WE'VE GOT HATE GRENADES WE ARE THE RENEGADES STRAIGHT OUT OF CLINIC A,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000034,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
35,train,ANiMAL,Clinic A,a,0119,0126,WE WILL BE HEARD CAUSE WE GOT THE THREE VOICES WE PICK UP LONG AND IT'S GONNA DROP BOMBS HITS STAYS A ROCKET,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000035,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
36,train,ANiMAL,Clinic A,a,0126,0131,I STACK IT WE PRE PACK IT AND THEN I SMASH IT SOME GET SIXTY RHYMES,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000036,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
37,train,ANiMAL,Clinic A,a,0131,0136,AUDIO CRIME AFTER AUDIO CRIME DRESSING MY CHAIR AND MY CLASSICS THE,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000037,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
38,train,ANiMAL,Clinic A,a,0136,0145,RECORD ENDS AND I SLEEP WITH STATIC I'M THE MASTER IN DISGUISE MAKING BEATS AND ROCKINGLY WISE WE TAKE THE CATE LINE WRICKY LAKE,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000038,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
39,train,ANiMAL,Clinic A,a,0145,0152,SLAP UPON RHYME THE ORIGINAL FAKES I SEEK OUT BLESSINGS SERLY A BASS I'M A PARROT I TAKE THE PIECE AND,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000039,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
40,train,ANiMAL,Clinic A,b,0152,0159,WHEN I SPLIT WELL I START TO LAUGH EIGHT BIT SOUNDS THIS SHIT SOUNDS HARD WE TAKE AIM,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000040,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
41,train,ANiMAL,Clinic A,b,0159,0165,AND HATERS HAVE TO RUN AWAY WITH THEIR HEAD IN SHAME,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000041,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
42,train,ANiMAL,Clinic A,b,0165,0175,CAUSE WE'RE NOT AFRAID AND WE'VE GOT HATE GRENADES WE ARE THE RENEGADES STRAIGHT OUT OF CLINIC A,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000042,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
43,train,ANiMAL,Clinic A,d,0175,0181,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000043,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
44,train,ANiMAL,Clinic A,d,0181,0188,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000044,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
45,train,ANiMAL,Clinic A,b,0188,0195,STRAIGHT OUT OF CLINIC A,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000045,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
46,train,ANiMAL,Clinic A,d,0195,0205,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000046,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
47,train,ANiMAL,Clinic A,b,0205,0213,WE ARE THE RENEGADES STRAIGHT OUT OF CLINIC A,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000047,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
48,train,ANiMAL,Clinic A,d,0213,0217,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000048,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
49,train,ANiMAL,Clinic A,d,0217,0223,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000049,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
50,train,ANiMAL,Clinic A,b,0223,0232,WE ARE THE RENEGADES STRAIGHT OUT OF CLINIC A,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000050,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
51,train,ANiMAL,Clinic A,d,0232,0237,<NO_VOX>,ANiMAL____-Clinic_A__,ANiMAL____-Clinic_A__-0000051,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Clinic_A/vocals.wav,44100
52,train,ANiMAL,Easy Tiger,d,0000,0006,<NO_VOX>,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000052,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
53,train,ANiMAL,Easy Tiger,a,0006,0013,AND COME AND COME,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000053,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
54,train,ANiMAL,Easy Tiger,a,0013,0022,COME AND COME,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000054,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
55,train,ANiMAL,Easy Tiger,b,0022,0027,EASY TIGER COME SIT BY MY RIDER AND COME,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000055,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
56,train,ANiMAL,Easy Tiger,b,0027,0035,EASY TIGER COME SIT BY MY RIDER COME EASY TIGER COME SIT BY MY RIDER COME EASY,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000056,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
57,train,ANiMAL,Easy Tiger,b,0034,0042,EASY TIGER COME SIT BY MY RIDER AND COME BACKSTAGE PASSES TO MY FUNKY SHOW,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000057,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
58,train,ANiMAL,Easy Tiger,b,0041,0049,PUMP OTHER POCKETS ON YOUR STEREO IT'S GETTING WARM AND HOT IN CLUB COME MEET ME DOWN THE ROAD,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000058,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
59,train,ANiMAL,Easy Tiger,b,0049,0053,WE GAVE OUT THE TICKETS BUT THE PEOPLE WON'T GO NO,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000059,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
60,train,ANiMAL,Easy Tiger,b,0053,0061,WALKING BACKSTAGE TRYING TO GET IT ON I AM STANDING BOW TALL FIVE SIX I'M WRONG PUT YOUR FEET BEHIND THE CURTAIN MAKE YOUR SELF KNOWN ONE CLICK AND I THINK A SMILE THEN I AM YOURS THE HOTEL IS,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000060,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
61,train,ANiMAL,Easy Tiger,b,0060,0067,YOURS THE HOTEL IS NOT FAR I CHECK IT DOWN THE ROAD IF YOU WANNA LAY BACK CHICK CAN MAKE YOU MOAN AND WE CAN HAVE A LITTLE CHAT ABOUT THE WAY I'M HOT YOU REMIND OF SEXY CHICK,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000061,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
62,train,ANiMAL,Easy Tiger,b,0067,0074,IS BACK IN AMSTERDAM CHICK COME BACK WITH ME LIKE ITS NO PROBLEM I LET HER TAKE CONTROL I HAVE SO MUCH TO LEARN AS WE HIT IT IN THE BADEN NOW THE CHICKS ARE GONE,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000062,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
63,train,ANiMAL,Easy Tiger,b,0074,0084,HEY LETS GO WHERE DID YOU GET THAT TIME DONE SAID YOU'RE LOOKING CRISP IN THE MORNING SUN WHILE SHE GIVES ME THE NUMBER TO HER MOBILE PHONE WE SAY GOODBYES AND WHAT NOW SHE IS HOME AS WE HITTING ON THE ROAD AND HEADING FOR THE NEXT SHOW BUT,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000063,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
64,train,ANiMAL,Easy Tiger,b,0084,0088,EASY TIGER COME SIT BY MY RIDER AND COME,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000064,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
65,train,ANiMAL,Easy Tiger,b,0088,0099,EASY TIGER COME SIT BY MY RIDER COME EASY TIGER COME SIT BY MY RIDER COME EASY TIGER COME SIT BY MY RIDER AND COME,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000065,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
66,train,ANiMAL,Easy Tiger,b,0098,0102,AND COME BACKSTAGE PASSES TO MY FUNKY SHOW,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000066,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
67,train,ANiMAL,Easy Tiger,b,0102,0110,PUMP OTHER POCKETS ON YOUR STEREO IT'S GETTING WARM AND HOT IN CLUB COME WITH ME DOWN THE ROAD,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000067,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
68,train,ANiMAL,Easy Tiger,b,0110,0114,WE GAVE OUT THE TICKETS BUT THE PEOPLE WON'T GO NO,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000068,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
69,train,ANiMAL,Easy Tiger,a,0114,0119,GO GIRL HERE IS MY BACKSTAGE PASS BRING IT BACK THERE LET ME TAP THAT ASS AND ADDRESS YOUR CLASS I'M MA MOVE,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000069,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
70,train,ANiMAL,Easy Tiger,a,0119,0129,TOO FAST I'M MA DRESS SOME ROOM CHAMPAGNE AND TWO GLASS SO COME ON GIRL DON'T HOLD IT DOWN WHEN WE UP IN NIGGA TOWN BE SCREAMING NOW YOU ARE WITH THE AFTER PARTY LIKE YOU DREAMED ABOUT ITS TIME YOU AND ME ACT FRIENDISH NOW,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000070,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
71,train,ANiMAL,Easy Tiger,b,0129,0134,AND WE CAN SIT AND DRINK OBSCENE AMOUNTS I'VE GOT A TAB AT THE BAR LET'S CLEAN THEM OUT AND WHEN WE DRUNK ENOUGH,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000071,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
72,train,ANiMAL,Easy Tiger,b,0134,0145,THEN WE BOUNCE OFF TO THE HOTEL OUT FOR THE COUNTING WHEN THE MORNING COME ACROSS THE DUST BACK ON THE ROAD IS THE BORING STUFF BUT IT CAN LIVEN UP IF YOU ROLL WITH US YOU CAN SIT UPON MY RIDE UPON THE TOUR BUS SHE,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000072,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
73,train,ANiMAL,Easy Tiger,c,0144,0152,<UNK>,ANiMAL____-Easy_Tiger,ANiMAL____-Easy_Tiger-0000073,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/mixture.wav,db/musdbhq_mono/train/ANiMAL_-_Easy_Tiger/vocals.wav,44100
