,set,artist,song,lyrics,start,stop,spk_id,utt_id,mix_file,vox_file,sr
16,train,6,39,<NO_VOX>,0149.12,0159.31,mashups_06-part_0039,mashups_06-part_0039-0000016,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
17,train,6,39,<NO_VOX>,0159.31,0165.69,mashups_06-part_0039,mashups_06-part_0039-0000017,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
18,train,6,39,OVER AND OVER WE'VE LOOKED FOR SOMETHING ELSE,0165.69,0173.33,mashups_06-part_0039,mashups_06-part_0039-0000018,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
19,train,6,39,WE FELL AND ROSE AGAIN DEEPER AND DEEPER,0173.33,0182.25,mashups_06-part_0039,mashups_06-part_0039-0000019,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
20,train,6,39,THERE REALLY WAS NO END IN THAT FAR AWAY LAND,0182.25,0189.90,mashups_06-part_0039,mashups_06-part_0039-0000020,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
21,train,6,39,<NO_VOX>,0189.90,0195.00,mashups_06-part_0039,mashups_06-part_0039-0000021,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
22,train,6,39,AND I STILL REMEMBER WHAT ALL THIS MEANS TO ME IS EVERYTHING YOU SEE,0195.00,0207.75,mashups_06-part_0039,mashups_06-part_0039-0000022,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
23,train,6,39,IT'S NOW OR NEVER BACK WHERE I USED TO BE,0207.75,0215.39,mashups_06-part_0039,mashups_06-part_0039-0000023,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
24,train,6,39,THIS TIME YOU HAVE TO SET ME FREE,0215.39,0223.04,mashups_06-part_0039,mashups_06-part_0039-0000024,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
25,train,6,39,SET ME FREE SET ME,0223.04,0230.69,mashups_06-part_0039,mashups_06-part_0039-0000025,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
26,train,6,39,FREE SET ME FREE,0230.69,0243.43,mashups_06-part_0039,mashups_06-part_0039-0000026,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
27,train,6,39,<NO_VOX>,0243.43,0249.80,mashups_06-part_0039,mashups_06-part_0039-0000027,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
28,train,6,39,<NO_VOX>,0249.80,0257.45,mashups_06-part_0039,mashups_06-part_0039-0000028,db/mashups_mono/train/6_39/mixture.wav,db/mashups_mono/train/6_39/vocals.wav,44100
29,train,4,76,<NO_VOX>,0000.00,0009.38,mashups_04-part_0076,mashups_04-part_0076-0000029,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
30,train,4,76,<NO_VOX>,0009.38,0014.08,mashups_04-part_0076,mashups_04-part_0076-0000030,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
31,train,4,76,<NO_VOX>,0014.08,0019.71,mashups_04-part_0076,mashups_04-part_0076-0000031,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
32,train,4,76,<NO_VOX>,0019.71,0026.28,mashups_04-part_0076,mashups_04-part_0076-0000032,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
33,train,4,76,<NO_VOX>,0026.28,0033.78,mashups_04-part_0076,mashups_04-part_0076-0000033,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
34,train,4,76,ANOTHER YEAR AND I'M STILL HERE,0033.78,0039.42,mashups_04-part_0076,mashups_04-part_0076-0000034,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
35,train,4,76,BY ALL RIGHTS I SHOULD BE AWAY AND IN THE CLEAR,0039.42,0046.92,mashups_04-part_0076,mashups_04-part_0076-0000035,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
36,train,4,76,AWAY AND IN THE CLEAR,0046.92,0052.55,mashups_04-part_0076,mashups_04-part_0076-0000036,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
37,train,4,76,HU SHALALA,0052.55,0056.31,mashups_04-part_0076,mashups_04-part_0076-0000037,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
38,train,4,76,IT'S ALL GONE WRONG I SHOULD BE GONE,0056.31,0061.94,mashups_04-part_0076,mashups_04-part_0076-0000038,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
39,train,4,76,SAND ALL THAT SHOULD BE LEFT BEHINDS THIS SONG HU SHALALA,0061.94,0069.45,mashups_04-part_0076,mashups_04-part_0076-0000039,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
40,train,4,76,LEFT BEHIND THIS SONG HU SHALALA HU SHALALA,0069.45,0077.89,mashups_04-part_0076,mashups_04-part_0076-0000040,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
41,train,4,76,CAUSE I THINK THERE SHOULD BE SO MUCH MORE TO ME,0077.89,0084.46,mashups_04-part_0076,mashups_04-part_0076-0000041,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
42,train,4,76,GRITTEN SHELL BUT NO PEARL,0084.46,0090.09,mashups_04-part_0076,mashups_04-part_0076-0000042,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
43,train,4,76,I HEARD THERE COULD BE MORE THAN THIS SO MUCH MORE,0090.09,0096.66,mashups_04-part_0076,mashups_04-part_0076-0000043,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
44,train,4,76,OUT IN THE WORLD,0096.66,0104.17,mashups_04-part_0076,mashups_04-part_0076-0000044,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
45,train,4,76,UH SHALALA ANOTHER DAY I'M GOING TO UH SHALALA GET AWAY,0104.17,0108.86,mashups_04-part_0076,mashups_04-part_0076-0000045,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
46,train,4,76,<UNK>,0108.86,0117.31,mashups_04-part_0076,mashups_04-part_0076-0000046,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
47,train,4,76,<UNK>,0117.31,0123.88,mashups_04-part_0076,mashups_04-part_0076-0000047,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
48,train,4,76,<NO_VOX>,0123.88,0128.57,mashups_04-part_0076,mashups_04-part_0076-0000048,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
49,train,4,76,<NO_VOX>,0128.57,0134.20,mashups_04-part_0076,mashups_04-part_0076-0000049,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
50,train,4,76,<NO_VOX>,0134.20,0140.77,mashups_04-part_0076,mashups_04-part_0076-0000050,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
51,train,4,76,<NO_VOX>,0140.77,0148.28,mashups_04-part_0076,mashups_04-part_0076-0000051,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
52,train,4,76,<NO_VOX>,0148.28,0156.72,mashups_04-part_0076,mashups_04-part_0076-0000052,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
53,train,4,76,<NO_VOX>,0156.72,0166.11,mashups_04-part_0076,mashups_04-part_0076-0000053,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
54,train,4,76,<NO_VOX>,0166.11,0170.80,mashups_04-part_0076,mashups_04-part_0076-0000054,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
55,train,4,76,<NO_VOX>,0170.80,0176.43,mashups_04-part_0076,mashups_04-part_0076-0000055,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
56,train,4,76,<NO_VOX>,0176.43,0183.00,mashups_04-part_0076,mashups_04-part_0076-0000056,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
57,train,4,76,<NO_VOX>,0183.00,0187.69,mashups_04-part_0076,mashups_04-part_0076-0000057,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
58,train,4,76,<NO_VOX>,0187.69,0196.14,mashups_04-part_0076,mashups_04-part_0076-0000058,db/mashups_mono/train/4_76/mixture.wav,db/mashups_mono/train/4_76/vocals.wav,44100
59,train,12,31,WOKE UP TODAY SO MUCH TO SAY,0000.32,0005.01,mashups_12-part_0031,mashups_12-part_0031-0000059,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
60,train,12,31,BERRIED ON A FEELING'S HIDING AND REVEALING WHAT,0005.01,0009.70,mashups_12-part_0031,mashups_12-part_0031-0000060,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
61,train,12,31,WOULD ANY FIGURE MY HEART'S GOTTEN BIGGER,0009.70,0013.45,mashups_12-part_0031,mashups_12-part_0031-0000061,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
62,train,12,31,IT CAN BE A CHALLENGE CARVING OUT THE BALANCE,0013.45,0017.20,mashups_12-part_0031,mashups_12-part_0031-0000062,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
63,train,12,31,LOOK AT ME YOU CAN SEE,0017.20,0021.89,mashups_12-part_0031,mashups_12-part_0031-0000063,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
64,train,12,31,WHAT I NEED IT'S NOT THERE I KNOW WHY I MUST TRY,0021.89,0030.32,mashups_12-part_0031,mashups_12-part_0031-0000064,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
65,train,12,31,DO OR DIE IT'S MY TIME,0030.32,0034.81,mashups_12-part_0031,mashups_12-part_0031-0000065,db/mashups_mono/train/12_31/mixture.wav,db/mashups_mono/train/12_31/vocals.wav,44100
66,train,11,10,<NO_VOX>,0003.19,0016.22,mashups_11-part_0010,mashups_11-part_0010-0000066,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
67,train,11,10,<NO_VOX>,0016.22,0022.73,mashups_11-part_0010,mashups_11-part_0010-0000067,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
68,train,11,10,AIR TRAFFIC CONTROL I'M COMING DOWN JUST WAITING ON YOUR WORD,0022.73,0031.85,mashups_11-part_0010,mashups_11-part_0010-0000068,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
69,train,11,10,FLYING ROUND AND ROUND THIS MAY NOT BE THE BEST DINING BUT THE HEAVENS ARE FULL,0031.85,0042.26,mashups_11-part_0010,mashups_11-part_0010-0000069,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
70,train,11,10,AND I NEED TO GROUND AIR TRAFFIC CONTROL IF YOU WERE IN MY PLACE IF YOU COULD FEEL MY WINGS YOU YOU'D DO IT FAR FROM GRACE,0042.26,0055.29,mashups_11-part_0010,mashups_11-part_0010-0000070,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
71,train,11,10,BLESSINGS AND I I'M COMING DOWN THE HEAVENS ARE FULL AND I NEED TO GROUND,0055.29,0068.31,mashups_11-part_0010,mashups_11-part_0010-0000071,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
72,train,11,10,UH UH,0068.31,0078.73,mashups_11-part_0010,mashups_11-part_0010-0000072,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
73,train,11,10,UH UH,0078.73,0090.45,mashups_11-part_0010,mashups_11-part_0010-0000073,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
74,train,11,10,TAKE OFF YOUR OXYGEN MASKS AND YOUR LIFE JACKETS PLEASE THERE BE ONLY PAIN IF YOU SURVIVE THE SEAS,0090.45,0104.78,mashups_11-part_0010,mashups_11-part_0010-0000074,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
75,train,11,10,KISS YOUR NEIGHBOR GOOD BYE LET GO OF YOUR SEATS,0104.78,0117.80,mashups_11-part_0010,mashups_11-part_0010-0000075,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
76,train,11,10,LET GO OF YOUR SEATS,0117.80,0129.52,mashups_11-part_0010,mashups_11-part_0010-0000076,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
77,train,11,10,AND DEEP PROMISES FAST WORDS THAT YOU SEAR COME TUMBLING DOWN FROM,0129.52,0141.24,mashups_11-part_0010,mashups_11-part_0010-0000077,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
78,train,11,10,FRONT BEAMS OVER HERE LIMBS BROKEN IN SCARD HEARTS OPENED IN MART TO FIND,0141.24,0149.06,mashups_11-part_0010,mashups_11-part_0010-0000078,db/mashups_mono/train/11_10/mixture.wav,db/mashups_mono/train/11_10/vocals.wav,44100
79,train,11,30,<NO_VOX>,0000.00,0008.00,mashups_11-part_0030,mashups_11-part_0030-0000079,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
80,train,11,30,<NO_VOX>,0008.00,0013.00,mashups_11-part_0030,mashups_11-part_0030-0000080,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
81,train,11,30,WHEN THE FIRE BURNS OUT AND MY HANDS FEEL NUMB,0013.00,0020.00,mashups_11-part_0030,mashups_11-part_0030-0000081,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
82,train,11,30,CAUSE OF SENSE OF SPACE AND TIME WE'RE ALL STILL YOUNG,0020.00,0026.00,mashups_11-part_0030,mashups_11-part_0030-0000082,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
83,train,11,30,WE LEVEL UP THE SILENCE IT'S NOT AS HARD AS IT SOUNDS,0026.00,0034.00,mashups_11-part_0030,mashups_11-part_0030-0000083,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
84,train,11,30,A PICTURE PERFECT FAMILY YEAH DOUBT IS NEVER AROUND,0034.00,0040.00,mashups_11-part_0030,mashups_11-part_0030-0000084,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
85,train,11,30,A DOUBT IS NEVER AROUND,0040.00,0047.00,mashups_11-part_0030,mashups_11-part_0030-0000085,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
86,train,11,30,<NO_VOX>,0047.00,0057.00,mashups_11-part_0030,mashups_11-part_0030-0000086,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
87,train,11,30,I STAND MY GROUND I'LL TAKE A BELL IF THE YEARS STAND STILL WON'T PUT ME IN MY PLACE,0057.00,0066.00,mashups_11-part_0030,mashups_11-part_0030-0000087,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
88,train,11,30,DID YOU REALLY THINK A CHANGE OF PACE WOULD CHANGE THIS FACE OR CHANGE THIS PLACE,0066.00,0073.00,mashups_11-part_0030,mashups_11-part_0030-0000088,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
89,train,11,30,<NO_VOX>,0073.00,0080.00,mashups_11-part_0030,mashups_11-part_0030-0000089,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
90,train,11,30,<NO_VOX>,0080.00,0085.00,mashups_11-part_0030,mashups_11-part_0030-0000090,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
91,train,11,30,<NO_VOX>,0085.00,0091.00,mashups_11-part_0030,mashups_11-part_0030-0000091,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
92,train,11,30,<NO_VOX>,0091.00,0098.00,mashups_11-part_0030,mashups_11-part_0030-0000092,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
93,train,11,30,WHEN THE WATER RUNS DRY AND I SEE YOUR FACE,0098.00,0106.00,mashups_11-part_0030,mashups_11-part_0030-0000093,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
94,train,11,30,YOUR BURNS COVER THE SMIRK NO ONE SAW WAS SO OUT OF PLACE,0106.00,0113.00,mashups_11-part_0030,mashups_11-part_0030-0000094,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
95,train,11,30,I MASK THE SMELL OF SMOKE EYE I COVER UP MY EARS,0113.00,0119.00,mashups_11-part_0030,mashups_11-part_0030-0000095,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
96,train,11,30,TO ONLY HEAR MY BREATHING I WANNA HEAR MY BREATHING,0119.00,0127.00,mashups_11-part_0030,mashups_11-part_0030-0000096,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
97,train,11,30,<NO_VOX>,0127.00,0134.00,mashups_11-part_0030,mashups_11-part_0030-0000097,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
98,train,11,30,<NO_VOX>,0134.00,0143.00,mashups_11-part_0030,mashups_11-part_0030-0000098,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
99,train,11,30,I STAND MY GROUND I'LL TAKE A BELL IF,0143.00,0147.00,mashups_11-part_0030,mashups_11-part_0030-0000099,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
100,train,11,30,THE YEARS STAND STILL WON'T PUT ME IN MY PLACE DID YOU REALLY THINK A CHANGE OF PACE WOULD CHANGE THIS FACE OR CHANGE THIS PLACE,0147.00,0158.00,mashups_11-part_0030,mashups_11-part_0030-0000100,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
101,train,11,30,<NO_VOX>,0158.00,0165.00,mashups_11-part_0030,mashups_11-part_0030-0000101,db/mashups_mono/train/11_30/mixture.wav,db/mashups_mono/train/11_30/vocals.wav,44100
102,train,5,60,<NO_VOX>,0000.00,0009.09,mashups_05-part_0060,mashups_05-part_0060-0000102,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
103,train,5,60,<NO_VOX>,0009.09,0014.55,mashups_05-part_0060,mashups_05-part_0060-0000103,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
104,train,5,60,<NO_VOX>,0014.55,0020.91,mashups_05-part_0060,mashups_05-part_0060-0000104,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
105,train,5,60,<NO_VOX>,0020.91,0027.27,mashups_05-part_0060,mashups_05-part_0060-0000105,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
106,train,5,60,I'M SO FAR FROM HOME,0027.27,0031.82,mashups_05-part_0060,mashups_05-part_0060-0000106,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
107,train,5,60,SOME PLACE I DON'T KNOW,0031.82,0038.18,mashups_05-part_0060,mashups_05-part_0060-0000107,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
108,train,5,60,OUT HERE I FEEL WEAK,0038.18,0043.64,mashups_05-part_0060,mashups_05-part_0060-0000108,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
109,train,5,60,OUT HERE I FEEL COLD I'M NOT RIGHT,0043.64,0051.82,mashups_05-part_0060,mashups_05-part_0060-0000109,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
110,train,5,60,I'M NOT RIGHT I'M NOT,0051.82,0059.09,mashups_05-part_0060,mashups_05-part_0060-0000110,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
111,train,5,60,I'M NOT RIGHT I'M NOT RIGHT I'M NOT,0059.09,0068.18,mashups_05-part_0060,mashups_05-part_0060-0000111,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
112,train,5,60,<NO_VOX>,0068.18,0071.82,mashups_05-part_0060,mashups_05-part_0060-0000112,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
113,train,5,60,DO YOU KNOW THE WAY,0071.82,0077.27,mashups_05-part_0060,mashups_05-part_0060-0000113,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
114,train,5,60,CAN YOU HELP ME OUT,0077.27,0082.73,mashups_05-part_0060,mashups_05-part_0060-0000114,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
115,train,5,60,I THOUGHT I WAS OKAY,0082.73,0088.18,mashups_05-part_0060,mashups_05-part_0060-0000115,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
116,train,5,60,NOW I HAVE MY DOUBTS I'M NOT RIGHT,0088.18,0096.36,mashups_05-part_0060,mashups_05-part_0060-0000116,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
117,train,5,60,I'M NOT RIGHT I'M NOT,0096.36,0104.55,mashups_05-part_0060,mashups_05-part_0060-0000117,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
118,train,5,60,I'M NOT RIGHT I'M NOT RIGHT,0104.55,0110.91,mashups_05-part_0060,mashups_05-part_0060-0000118,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
119,train,5,60,I'M NOT,0110.91,0115.45,mashups_05-part_0060,mashups_05-part_0060-0000119,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
120,train,5,60,WELL I LOST MY WAY,0115.45,0121.82,mashups_05-part_0060,mashups_05-part_0060-0000120,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
121,train,5,60,AND I CAN'T GET HOME,0121.82,0127.27,mashups_05-part_0060,mashups_05-part_0060-0000121,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
122,train,5,60,DO YOU FEEL THE SAME,0127.27,0132.73,mashups_05-part_0060,mashups_05-part_0060-0000122,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
123,train,5,60,COULD YOU HELP ME FIND MY WAY MY WAY BACK HOME,0132.73,0141.82,mashups_05-part_0060,mashups_05-part_0060-0000123,db/mashups_mono/train/5_60/mixture.wav,db/mashups_mono/train/5_60/vocals.wav,44100
